"","sp","lon","lat"
"1584","Dendropsophus_bipunctatus",-43.0406,-22.6528
"1586","Dendropsophus_bipunctatus",-41.4722,-22.1067
"1587","Dendropsophus_bipunctatus",-43.2075,-22.9028
"1588","Dendropsophus_bipunctatus",-43.16306,-21.5108
"1589","Dendropsophus_bipunctatus",-39.734167,-14.138056
"1590","Dendropsophus_bipunctatus",-40.545564,-19.888659
"1591","Dendropsophus_bipunctatus",-43.7075,-22.7439
"1592","Dendropsophus_bipunctatus",-40.0978,-19.1969
"1593","Dendropsophus_bipunctatus",-42.965556,-22.412222
"1600","Dendropsophus_branneri",-40.273333,-19.820278
"1601","Dendropsophus_branneri",-35.75426436,-6.524721306
"1602","Dendropsophus_branneri",-36.6797,-9.16972
"1603","Dendropsophus_branneri",-40.600278,-19.935833
"1604","Dendropsophus_branneri",-41.066667,-20.833333
"1605","Dendropsophus_branneri",-35.8811,-7.23056
"1606","Dendropsophus_branneri",-40.416667,-20.266667
"1607","Dendropsophus_branneri",-40.42,-20.263889
"1609","Dendropsophus_branneri",-40.875278,-19.873889
"1611","Dendropsophus_branneri",-40.511,-20.658
"1612","Dendropsophus_branneri",-40.3697,-19.8319
"1613","Dendropsophus_branneri",-39.049167,-14.789167
"1614","Dendropsophus_branneri",-39.280278,-14.785833
"1616","Dendropsophus_branneri",-39.842778,-14.283611
"1617","Dendropsophus_branneri",-40.833889,-21.011111
"1618","Dendropsophus_branneri",-40.541667,-19.412778
"1619","Dendropsophus_branneri",-34.865,-7.145
"1621","Dendropsophus_branneri",-37.185903,-10.800021
